DATE,PAYNSA
2008-01-01,136268
2008-02-01,136787
2008-03-01,137378
2008-04-01,137914
2008-05-01,138488
2008-06-01,138682
2008-07-01,137203
2008-08-01,137094
2008-09-01,137148
2008-10-01,137442
2008-11-01,136761
2008-12-01,135732
2009-01-01,132042
2009-02-01,131808
2009-03-01,131675
2009-04-01,131859
2009-05-01,132132
2009-06-01,131950
2009-07-01,130353
2009-08-01,130231
2009-09-01,130589
2009-10-01,131188
2009-11-01,131236
2009-12-01,130690
2010-01-01,127820
2010-02-01,128255
2010-03-01,129089
2010-04-01,130212
2010-05-01,131330
2010-06-01,131448
2010-07-01,130111
2010-08-01,130175
2010-09-01,130669
2010-10-01,131641
2010-11-01,131947
2010-12-01,131641
2011-01-01,128778
2011-02-01,129592
2011-03-01,130499
2011-04-01,131715
2011-05-01,132399
2011-06-01,132889
2011-07-01,131615
2011-08-01,131890
2011-09-01,132636
2011-10-01,133558
2011-11-01,133893
2011-12-01,133718
2012-01-01,131113
2012-02-01,132067
2012-03-01,132971
2012-04-01,133854
2012-05-01,134667
2012-06-01,135005
2012-07-01,133795
2012-08-01,134175
2012-09-01,134802
2012-10-01,135649
2012-11-01,136039
2012-12-01,135964
2013-01-01,133081
2013-02-01,134120
2013-03-01,134918
2013-04-01,135923
2013-05-01,136816
2013-06-01,137226
2013-07-01,136052
2013-08-01,136488
2013-09-01,137096
2013-10-01,138019
2013-11-01,138543
2013-12-01,138292
2014-01-01,135488
2014-02-01,136229
2014-03-01,137187
2014-04-01,138325
2014-05-01,139237
2014-06-01,139824
2014-07-01,138745
2014-08-01,139125
2014-09-01,139812
2014-10-01,140866
2014-11-01,141331
2014-12-01,141326
2015-01-01,138511
2015-02-01,139343
2015-03-01,140099
2015-04-01,141283
2015-05-01,142224
2015-06-01,142700
2015-07-01,141747
2015-08-01,141939
2015-09-01,142497
2015-10-01,143645
2015-11-01,144066
2015-12-01,144063
2016-01-01,141088
2016-02-01,141919
2016-03-01,142814
2016-04-01,143909
2016-05-01,144557
2016-06-01,145222
2016-07-01,144248
2016-08-01,144502
2016-09-01,145168
2016-10-01,146049
2016-11-01,146482
2016-12-01,146270
2017-01-01,143393
2017-02-01,144423
2017-03-01,145078
2017-04-01,146101
2017-05-01,146937
2017-06-01,147578
2017-07-01,146486
2017-08-01,146801
2017-09-01,147177
2017-10-01,148203
2017-11-01,148783
2017-12-01,148530
